      Vistepite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070712 
      Hybler J, Petricek V, Jurek K, Skala R, Cisarova I
      The Canadian Mineralogist 35 (1997) 1283-1292
      Structure determination of vistepite SnMn4B2Si4O16(OH)2: Isotypism with
      bustamite, revised crystallographic data and composition

      CELL PARAMETERS:   6.9760  7.3680  7.6680   89.890   62.950   76.920
      SPACE GROUP: P-1       

                68.34          2.99        1.3727   -4  -2   1
                68.34          6.28        1.3725    0  -5   2
                68.57          1.85        1.3686    5   2   3
                68.86          6.39        1.3635    0   5   1
                69.33          1.24        1.3553    5   0   3
                69.39          1.00        1.3543   -1  -5   2
                69.80          2.02        1.3475    3  -2   5
                70.46          1.02        1.3364    1   2   5
                70.81          1.40        1.3307    5   1   1
                71.07          1.55        1.3265    0   4   3
                71.12          2.03        1.3256    1  -4   4
                71.83          1.48        1.3143    5   3   2
                71.99          2.18        1.3117    5   2   4
                72.10          2.07        1.3100    0   3   4
                73.23          2.75        1.2926   -2   2   3
                73.60          3.19        1.2869    2   3   5
                73.95          1.08        1.2817    5  -1   3
                74.43          4.22        1.2747    0  -5   3
                75.25          5.10        1.2627    0   5   2
                75.67          1.12        1.2568    2  -1   6
                75.77          1.37        1.2554   -2  -2   4
                75.93          1.53        1.2531    4  -3   2
                76.72          2.62        1.2422    5   1   5
                76.90          1.51        1.2397    4   5   2
                77.04          1.60        1.2379    5   2   0
                78.65          5.33        1.2166   -4  -1   2
                78.77          4.36        1.2149    4   1   6
                80.43          2.78        1.1941    0  -6   1
                82.89          1.19        1.1647   -2   4   2
                82.98          2.87        1.1637    2  -4   5
                83.07          3.11        1.1627    0   4   4
                83.45          2.26        1.1584   -2  -5   3
                83.47          1.04        1.1581    2   5   4
                85.36          2.70        1.1372    0  -1   6
                86.37          1.32        1.1265    5   0   6
                86.62          1.96        1.1239    4  -2   6
                87.20          1.45        1.1179   -4  -4   2
                87.42          1.48        1.1156    0  -2   6
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
